"date","version_id","ad_id","page_id","page_name","status","first_observed_by_us","meta_active_since","days_observed_running","creative_hash","duplicate_group","landing_url","notes"
"2026-06-17","legacy-before-version-tracking","2745145999188468","60fae891","Rachun Premium","Active","2026-06-17","2026-06-09","7","a5a847a3","a5a847a3","https://s.shopee.com.my/7VDqGyqxQk",""
"2026-06-17","legacy-before-version-tracking","999147179499762","60fae891","Rachun Premium","Active","2026-06-17","2026-06-09","7","3fb181e1","3fb181e1","https://s.shopee.com.my/7pqgQdQbAa",""
"2026-06-17","legacy-before-version-tracking","1020429347069170","60fae891","Rachun Premium","Active","2026-06-17","2026-06-09","7","a75206bf","a75206bf","https://s.shopee.com.my/7pqgQdQbAa",""
"2026-06-17","legacy-before-version-tracking","999617022663643","60fae891","Rachun Premium","Active","2026-06-17","2026-06-09","7","9b8c7e14","9b8c7e14","https://s.shopee.com.my/6L1uVcSb1P",""
"2026-06-17","legacy-before-version-tracking","3580594658761997","60fae891","Rachun Premium","Active","2026-06-17","2026-06-09","7","9fc9854","9fc9854","https://s.shopee.com.my/7VDlHHZKhl",""
"2026-06-17","legacy-before-version-tracking","1718377029380014","60fae891","Rachun Premium","Active","2026-06-17","2026-06-09","7","1437f3c8","1437f3c8","https://s.shopee.com.my/7VDlHHZKhl",""
"2026-06-17","legacy-before-version-tracking","1473844463748480","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","e436c73f","e436c73f","https://s.shopee.com.my/8AOfd2z2tQ",""
"2026-06-17","legacy-before-version-tracking","26804278449221459","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","67a5afce","67a5afce","https://s.shopee.com.my/9Uu1T1iLch",""
"2026-06-17","legacy-before-version-tracking","958801976859114","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","9e3a33f3","9e3a33f3","https://s.shopee.com.my/5L6RY9nmBG",""
"2026-06-17","legacy-before-version-tracking","887341977099600","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","a53dfdb2","a53dfdb2","https://s.shopee.com.my/50ScXUW34b",""
"2026-06-17","legacy-before-version-tracking","1760138491812572","60fae891","Rachun Premium","Active","2026-06-17","2026-05-16","31","210e4988","210e4988","https://s.shopee.com.my/50QjokfdFw",""
"2026-06-17","legacy-before-version-tracking","4402438880012303","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","1033c503","1033c503","https://s.shopee.com.my/6VIwA7tmHi",""
"2026-06-17","legacy-before-version-tracking","4494834977452987","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","b6b6909d","b6b6909d","https://s.shopee.com.my/1qUqRi5pY3",""
"2026-06-17","legacy-before-version-tracking","1678882973152299","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","f5bd3c64","f5bd3c64","https://s.shopee.com.my/5VMD4v7Cyo",""
"2026-06-17","legacy-before-version-tracking","988419940434406","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","b80b40e9","b80b40e9","https://s.shopee.com.my/2VkPG8s6rN",""
